漢検四字熟語辞典1級,37,37,一闔一闢,いっこう,いちびゃく,一闔一闢（いっこういちびゃく）,あるいは閉じ、あるいは開く。陰と陽が消長するさま。
漢検四字熟語辞典1級,38,38,一糸一毫,いっし,いちごう,一糸一毫（いっしいちごう）,ごくわずかなこと。
漢検四字熟語辞典1級,39,39,一士諤諤,いっし,がくがく,一士諤諤（いっしがくがく）,多くの者がおもねり追従している中で、一人だけ恐れはばからずに直言すること。
漢検四字熟語辞典1級,40,40,一瀉千里,いっしゃ,せんり,一瀉千里（いっしゃせんり）,流れの非常に速いこと。文章や弁舌がよどみなく、すらすらできることのたとえ。ものごとが速やかに進みかたづくこと。
漢検四字熟語辞典1級,41,41,一觴一詠,いっしょう,いちえい,一觴一詠（いっしょういちえい）,ひと杯の酒を飲んで、一つの詩を作る。酒を飲み楽しみながら詩を作ること。
漢検四字熟語辞典1級,42,42,一笑一嚬,いっしょう,いっぴん,一笑一嚬（いっしょういっぴん）,顔にあらわれるわずかな表情。ちょっと顔をしかめたり、ちょっと笑ったりすること。
漢検四字熟語辞典1級,43,43,一倡三歎,いっしょう,さんたん,一倡三歎（いっしょうさんたん）,すぐれた詩文を賞賛する語。一度詠み上げれば何度も感嘆する意。
漢検四字熟語辞典1級,44,44,一世風靡,いっせい,ふうび,一世風靡（いっせいふうび）,ある時代に非常に流行すること。
漢検四字熟語辞典1級,45,45,一箭双雕,いっせん,そうちょう,一箭双雕（いっせんそうちょう）,弓を射るのがうまいこと。ただ一つの行為で二つの利益を得るたとえ。
漢検四字熟語辞典1級,46,46,一擲千金,いってき,せんきん,一擲千金（いってきせんきん）,豪快な振る舞い、思い切りのよいことのたとえ。
漢検四字熟語辞典1級,47,47,一髪千鈞,いっぱつ,せんきん,一髪千鈞（いっぱつせんきん）,非常に危険なこと、きわめて無理なことのたとえ。
漢検四字熟語辞典1級,48,48,一嚬一笑,いっぴん,いっしょう,一嚬一笑（いっぴんいっしょう）,顔にあらわれるわずかな表情。ちょっと顔をしかめたり、ちょっと笑ったりすること。
漢検四字熟語辞典1級,49,49,倚馬七紙,いば,しちし,倚馬七紙（いばしちし）,すらすらと名文を書き上げる才能。
漢検四字熟語辞典1級,50,50,夷蛮戎狄,いばん,じゅうてき,夷蛮戎狄（いばんじゅうてき）,中国周辺部にいた異民族の総称。四方の野蛮民族。
漢検四字熟語辞典1級,51,51,萎靡沈滞,いび,ちんたい,萎靡沈滞（いびちんたい）,物事の動きに活気や勢いがないこと。
漢検四字熟語辞典1級,52,52,渭浜漁父,いひん,ぎょほ,渭浜漁父（いひんのぎょほ）,渭水のほとりで釣り糸をたれていた呂尚のこと。
漢検四字熟語辞典1級,53,53,異聞奇譚,いぶん,きたん,異聞奇譚（いぶんきたん）,きわめて珍しい話のこと。
漢検四字熟語辞典1級,54,54,韋編三絶,いへん,さんぜつ,韋編三絶（いへんさんぜつ）,書物を繰り返し読むこと。読書や学問に熱心なたとえ。
